author,title,genre,token_count,sentence_count,avg_sentence_length,avg_syllables
"Riehl, Wilhelm Heinrich",Kulturgeschichtliche Charakterköpfe,Geschichte,429,20,21.45,1.8461538461538463
"Simmel, Georg",Zur Philosophie der Kunst,Philosophie und Religion,1507,40,37.675,1.8888054094665665
"Simmel, Georg",Über sociale Differenzierung,Philosophie und Religion,2931,65,45.09230769230769,1.8604651162790697
"Scherr, Johannes",Deutsche Kultur- und Sittengeschichte. Band I. Vorzeit und Mittelalter,Geschichte,1474,56,26.32142857142857,1.6996803712947153
"Riehl, Wilhelm Heinrich",Die Familie,Geschichte,580,18,32.22222222222222,1.7995974698102357
"Steffens, Henrich",Was ich erlebte,Biographie,417,9,46.33333333333334,1.7280062979728399
"Ssymank, Paul",Hermann Conradi,Biographie,450,15,30.0,1.8389901823281907
"Spengler, Oswald",Der Untergang des Abendlandes - Erster Band,Philosophie und Religion,264,12,22.0,1.9819277108433735
"Scherr, Johannes","Weib, Dame, Dirne. Kultur- und Sittengeschichte der Deutschen Frau",Geschichte,723,25,28.92,1.9014354066985646
"Spiero, Heinrich",Raabe,Biographie,426,15,28.4,1.8741962538440033
"Spiero, Heinrich",Paul Heyse,Biographie,147,5,29.4,1.9190332326283988
"Wiener, Oskar",Alt-Prager Guckkasten,"Natur, Wissen und Reise",801,27,29.66666666666667,1.9850444624090542
"Wekhrlin, Wilhelm Ludwig",Denkwürdigkeiten von Wien,"Natur, Wissen und Reise",6767,390,17.351282051282052,1.8248103399831412
"Ossietzky, Carl von",Sämtliche Schriften 1927-1928,Kultur und Kunst,691,50,13.82,1.934386391251519
"Ossietzky, Carl von",Sämtliche Schriften 1922-1924,Kultur und Kunst,275,14,19.642857142857142,1.8187869822485208
"Svensson, Jon",Zwischen Eis und Feuer. Ein Ritt durch Island,"Natur, Wissen und Reise",1632,63,25.904761904761905,1.8304107060452237
"Ossietzky, Carl von",Sämtliche Schriften 1911-1921,Kultur und Kunst,502,35,14.342857142857143,1.8537005163511187
"Simmel, Georg",Schopenhauer und Nietzsche,Philosophie und Religion,867,69,12.565217391304348,1.9133627019089574
"Simmel, Georg",Philosophie der Mode,Philosophie und Religion,2886,69,41.82608695652174,1.8741258741258742
"Simmel, Georg",Philosophie des Geldes,Philosophie und Religion,601,14,42.92857142857143,1.9475524475524475
"Simmel, Georg",Moltke als Stilist,Philosophie und Religion,638,13,49.07692307692307,1.8307896483078965
"Simmel, Georg",Michelangelo als Dichter,Philosophie und Religion,2046,49,41.755102040816325,2.0150119413169567
"Riehl, Wilhelm Heinrich",Culturstudien,Geschichte,2183,66,33.07575757575758,1.9396200814111262
"Ossietzky, Carl von",Ein Lesebuch für unsere Zeit,Kultur und Kunst,683,45,15.177777777777774,1.8258620689655172
"Sturz, Helfrich Peter","Briefe, im Jahre 1768 auf einer Reise im Gefolge des Königs von Dänemark geschrieben","Natur, Wissen und Reise",403,18,22.38888888888889,2.0095923261390887
"Richter, Joseph",Bildergalerie weltlicher Misbräuche,Geschichte,1141,101,11.297029702970296,1.9733333333333334
"Richter, Joseph",Bildergalerie klösterlicher Misbräuche,Geschichte,222,30,7.4,1.7741935483870968
"Richter, Joseph",Bildergalerie katholischer Misbräuche,Geschichte,240,25,9.6,2.0265151515151514
"Spiero, Heinrich",Detlev von Liliencron,Biographie,922,28,32.92857142857143,1.950207468879668
"Seidel, Heinrich",Von Perlin nach Berlin,Biographie,902,31,29.096774193548388,1.8450704225352113
"Schopenhauer, Adele",Reise durch England und Schottland,"Natur, Wissen und Reise",15120,641,23.588143525741035,1.8231292517006803
"Richter, Jean Paul",Vorschule der Ästhetik,Geschichte,1165,26,44.80769230769231,1.7428214731585518
"Steube, Johann Kaspar",Wanderschaften und Schicksale: Von Amsterdam nach Temiswar,"Natur, Wissen und Reise",449,11,40.81818181818182,1.758386286389833
"Rodenberg, Julius",Ein Herbst in Wales,"Natur, Wissen und Reise",466,19,24.52631578947368,2.044862518089725
"Southey, Robert",Nelson's Leben,Biographie,4568,172,26.55813953488372,1.7104446742502586
"Simmel, Georg",Goethe,Biographie,940,21,44.76190476190475,1.8
